CDS Code,Offense Description,Offense Level
66234,VIOL FOOD/AGRI PROVISION,M
50177,MANDATORY SUPERVISION,X
48052,USE/ETC FALSE INFO TO DMV,M
48103,IMPERSONATE CHP OFFICER,M
48051,GIVE FALSE INFO TO PO,M
46004,ACCESSORY,F
46039,ACCESSORY:PER 33 PC,M
1004,TREASON,F
1009,TREASON,F
1005,MISPRISION OF TREASON,F
51004,BRIBE EXECUTIVE OFFICER,F
51044,BRIBE PUBLIC OFFICER/ETC,M
51043,BRIBE PUBLIC OFFICER/ETC,F
51006,ASK/RECEIVE BRIBE,F
48004,OBSTRUCT/RESIST EXEC OFF,F
48115,OBSTRUCT/RESIST EXEC OFCR,M
51046,ASK/GET/ETC $/ETC:OFC ACT,M
51047,COMIS ACPT FEE PERF MARRG,M
33004,THREATN SCH/PUB OFCR/EMPL,F
33011,THREATN SCH/PUB OFCR/EMPL,M
31309,THRTN SCHOOL/PUB OFCR PR,F
26004,PRESENT FALSE CLAIM,F
26053,PRESENT FALSE CLAIM,M
26641,SK PUB FND REIMB ATND FNC,M
26642,SK PUB FND REIMB ATND FNC,F
26643,SK PUB FND REIMB ADMT FNC,M
26644,SK PUB FND REIMB ADMT FNC,F
51008,BUY APPOINTMENT TO OFFICE,M
51009,TAKE REWRD FOR DEPUTATION,M
16016,THREATN/ETC ELEC OFCL/ETC,F
16046,THREATN/ETC ELEC OFCL/ETC,M
51010,GIVE BRIBE TO LEGISLATOR,F
51011,LEGISLATOR RECEIVE BRIBE,F
51012,OFR/ETC BRIB JUDG/JUR/ETC,F
50091,DISOBEY SUBPOENA,M
51013,JUDGE/ETC RECEIVE BRIBE,F
51014,JUDL OFCR REC/ETC BRIBE,M
51015,JUDL OFCR ACC $ TO MARRY,M
51016,INFLUENCE JUROR/ETC,F
50117,THRET JUROR AFTER VERDICT,F
50192,THRTN JUROR AFTER VERDICT,M
50193,PROVIDE DEFT W/JUROR INFO,M
50194,PI PRVD DEFT W/JUROR INFO,M
50004,MISCONDUCT OF JUROR/ETC,F
50195,JUDL OFCR OBSTRCT JUSTICE,M
51017,JUDGE PURCHASE JUDGEMENT,M
31291,FAIL TO HIRE AFTR HEARING,M
50196,CONFLICT INT STATE PRNTR,F
50197,COLLSN SUPERINT ST PRNTNG,F
48005,TAKE/ETC GOODS FROM OFCR,M
49088,ESC:PUB TRAINING SCH/ETC,F
49005,AID/ETC ESC:TRNG SCH/ETC,F
49006,FUR INMATE W/ESCAPE EQUIP,F
25104,MFG/ETC FLSE GOV DOC,M
25074,MFG/ETC FLSE CITZ/ETC DOC,F
25075,USE FALSE CITIZEN/ETC DOC,F
25057,OFFER/ETC FAKE INSTR:FILE,F
25117,PBLSH CMPGN AD UNAUTH SIG,F
25118,PBLSH CMPGN AD UNAUTH SIG,M
25119,PUBLISH FALSE CAMPAIGN AD,M
25120,PROD DOC INACC EMERG INFO,M
25062,ALT/ETC CERT CPY OFCL REC,M
25067,FILE FALSE/ETC REALTY DOC,M
25073,FALSE STATE TO NOTARY PUB,F
50005,TAMPERING W/JURY LIST,F
