CDS.Code,Offense.Description,Offense.Level
66234,VIOL FOOD/AGRI PROVISION,M
50177,MANDATORY SUPERVISION,X
48052,USE/ETC FALSE INFO TO DMV,M
48103,IMPERSONATE CHP OFFICER,M
48051,GIVE FALSE INFO TO PO,M
46039,ACCESSORY:PER 33 PC,M
51044,BRIBE PUBLIC OFFICER/ETC,M
48115,OBSTRUCT/RESIST EXEC OFCR,M
51046,ASK/GET/ETC $/ETC:OFC ACT,M
51047,COMIS ACPT FEE PERF MARRG,M
33011,THREATN SCH/PUB OFCR/EMPL,M
26053,PRESENT FALSE CLAIM,M
26641,SK PUB FND REIMB ATND FNC,M
26643,SK PUB FND REIMB ADMT FNC,M
51008,BUY APPOINTMENT TO OFFICE,M
51009,TAKE REWRD FOR DEPUTATION,M
16046,THREATN/ETC ELEC OFCL/ETC,M
50091,DISOBEY SUBPOENA,M
51014,JUDL OFCR REC/ETC BRIBE,M
51015,JUDL OFCR ACC $ TO MARRY,M
50192,THRTN JUROR AFTER VERDICT,M
50193,PROVIDE DEFT W/JUROR INFO,M
50194,PI PRVD DEFT W/JUROR INFO,M
50195,JUDL OFCR OBSTRCT JUSTICE,M
51017,JUDGE PURCHASE JUDGEMENT,M
31291,FAIL TO HIRE AFTR HEARING,M
48005,TAKE/ETC GOODS FROM OFCR,M
25104,MFG/ETC FLSE GOV DOC,M
25118,PBLSH CMPGN AD UNAUTH SIG,M
25119,PUBLISH FALSE CAMPAIGN AD,M
25120,PROD DOC INACC EMERG INFO,M
25062,ALT/ETC CERT CPY OFCL REC,M
25067,FILE FALSE/ETC REALTY DOC,M
50116,JURY TAMPERING,M
50148,OFFICER FILE FALSE REPORT,M
26309,DISPLAY/ETC REVOK/ETC LIC,M
26125,DISPLAY ANOTHER'S LICENSE,M
26139,UNLAWFUL POSS/DUPL LICENS,M
31242,SUBVERT LICENSING EXAM,M
31198,BUS/PROF CONSPIRE W/UNLIC,M
26645,FRDLNT CONDCT DRNG INVEST,M
54072,OBSTRUCT NAVIGABLE WATERS,M
48149,UNLAWFUL WITNESS COMPNS,M
48007,DECEIVE WITNESS,M
66212,DISCHRG FUEL OIL IN WATER,M
48009,DESTROY/CONCEAL EVIDENCE,M
48125,FIX EVID:HARM SAFETY OFCR,M
48093,PREVENT/DISSUADE WIT/VICT,M
48094,ATT PREVENT/DISS WIT/VICT,M
48064,INTIM WIT/VICT FR/RPRT,M
48065,INTIM WIT/VICT FROM PROS,M
48066,INTIM WIT/VICT FR SEK ARR,M
48137,POSSES F/ARM:VIOL P/ORDER,M
52680,CDW W/INT INTIM WIT/VICT,M
48150,SEX OFR REVEAL WIT INFO,M
51034,UNLAW INFLU OF TESTIMONY,M
48151,FEL THRTN FRC/ETC:WIT/ETC,M
48127,THREAT FORCE/ETC WIT/VICT,M
48133,ALT EVID WIT CHRG W/CRIME,M
48152,PO REFUSE TO ARREST,M
56004,DELAY TAKING BEFORE JUDGE,M
44045,MAKE ARREST/ETC W/O AUTH,M
44086,SEIZE/LEVY PROP W/O AUTH,M
44087,DSPSSESS LND/ETC W/O AUTH,M
