AGENCY_NAME,Offense.Description,Offense.Level,TOTAL,WHITE_ARRESTS_COUNT,BLACK_ARRESTS_COUNT,HISPANIC_ARRESTS_COUNT,ASIAN_ARRESTS_COUNT,MULTIRACIAL_ARRESTS_COUNT,NATIVEAM_ARRESTS_COUNT,PACISL_ARRESTS_COUNT,Hispanic,White,Black,Native American,Asian,Pacific Islander,Multiracial,Total,WHITE_ARRESTS_PROP,WHITE_ARRESTS_PROP_POP,WHITE_ARREST_PERCENT_DIFF,BLACK_ARRESTS_PROP,BLACK_ARRESTS_PROP_POP,BLACK_ARREST_PERCENT_DIFF,HISPANIC_ARRESTS_PROP,HISPANIC_ARRESTS_PROP_POP,HISPANIC_ARREST_PERCENT_DIFF,ASIAN_ARRESTS_PROP,ASIAN_ARRESTS_PROP_POP,ASIAN_ARREST_PERCENT_DIFF,MULTIRACIAL_ARRESTS_PROP,MULTIRACIAL_ARRESTS_PROP_POP,MULTIRACIAL_ARREST_PERCENT_DIFF,NATIVE_ARRESTS_PROP,NATIVE_ARRESTS_PROP_POP,NATIVE_ARREST_PERCENT_DIFF,PACISL_ARRESTS_PROP,PACISL_ARRESTS_PROP_POP,PACISL_ARREST_PERCENT_DIFF
"CHP-HQ A/C, STAFF",UNSAFE LANE CHANGE/ETC,I,61,8,11,36,5,0,1,0,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,13.114754098360656,32.651129578279566,-59.833689468786545,18.0327868852459,5.000594466623798,260.612863242656,59.01639344262295,33.37643409687329,76.82054730991055,8.19672131147541,23.936918352633004,-65.75699014082241,0,4.0538050073025165,-100,1.639344262295082,0.6452144751838521,154.0774153939983,0,0.3359040231039713,-100
"CHP-HQ A/C, STAFF",DUI ALCOHOL,M,12272,3230,1316,6664,803,124,44,91,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,26.32007822685789,32.651129578279566,-19.389991810982444,10.723598435462842,5.000594466623798,114.44647245516369,54.30247718383312,33.37643409687329,62.69706052546873,6.543350717079531,23.936918352633004,-72.66418917972464,1.0104302477183833,4.0538050073025165,-75.07452267935444,0.35853976531942633,0.6452144751838521,-44.430917298118366,0.7415254237288136,0.3359040231039713,120.75514811541615
"CHP-HQ A/C, STAFF",DUI ALCOHOL AND DRUG,M,10922,3478,1172,5280,695,146,71,80,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,31.843984618201794,32.651129578279566,-2.4720276771518073,10.7306354147592,5.000594466623798,114.58719531008276,48.342794360007325,33.37643409687329,44.84110021967891,6.363303424281268,23.936918352633004,-73.41636324885856,1.3367515107123238,4.0538050073025165,-67.02477035021907,0.650064090825856,0.6452144751838521,0.7516284628645442,0.7324665812122322,0.3359040231039713,118.05829368870467
"CHP-HQ A/C, STAFF",DUI ALCOHOL/DRUGS,M,8556,2592,922,4264,549,109,57,63,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,30.294530154277698,32.651129578279566,-7.217512699988005,10.77606358111267,5.000594466623798,115.49565062787903,49.83637213651239,33.37643409687329,49.31604734006341,6.416549789621319,23.936918352633004,-73.19391871963539,1.2739597942964003,4.0538050073025165,-68.57372784331038,0.6661991584852734,0.6452144751838521,3.2523577986129046,0.7363253856942497,0.3359040231039713,119.20707554798686
"CHP-HQ A/C, STAFF",DUI ANY DRUG,M,1353,582,136,511,86,18,11,9,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,43.01552106430155,32.651129578279566,31.74282672571508,10.051736881005175,5.000594466623798,101.01083877316903,37.76792313377679,33.37643409687329,13.157454221015469,6.356245380635625,23.936918352633004,-73.44584926515216,1.3303769401330376,4.0538050073025165,-67.1820194178926,0.8130081300813009,0.6452144751838521,26.00587267507234,0.6651884700665188,0.3359040231039713,98.02932513869449
"CHP-HQ A/C, STAFF",DUI ALCOHOL/0.08 PERCENT,M,1034,344,87,529,50,8,9,7,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,33.26885880077369,32.651129578279566,1.8919076628364413,8.413926499032883,5.000594466623798,68.25852516518162,51.160541586073506,33.37643409687329,53.28342577754954,4.835589941972921,23.936918352633004,-79.79861120493392,0.7736943907156674,4.0538050073025165,-80.9143659026042,0.8704061895551257,0.6452144751838521,34.901838540913985,0.6769825918762089,0.3359040231039713,101.54048338583446
"CHP-HQ A/C, STAFF",DUI:ALCOHOL/DRUGS,M,930,339,67,445,63,7,7,2,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,36.45161290322581,32.651129578279566,11.639668746634815,7.204301075268817,5.000594466623798,44.068892675731696,47.8494623655914,33.37643409687329,43.36301543391643,6.774193548387098,23.936918352633004,-71.69980927122161,0.7526881720430108,4.0538050073025165,-81.43255112944209,0.7526881720430108,0.6452144751838521,16.657049863695992,0.21505376344086022,0.3359040231039713,-35.97761603042923
"CHP-HQ A/C, STAFF",DUI ALCOHOL/DRUG,M,714,299,91,254,50,10,3,7,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,41.87675070028011,32.651129578279566,28.255136165756685,12.745098039215685,5.000594466623798,154.87165824547793,35.57422969187675,33.37643409687329,6.584872394170331,7.002801120448179,23.936918352633004,-70.74476748725725,1.400560224089636,4.0538050073025165,-65.45072539091866,0.42016806722689076,0.6452144751838521,-34.879317903218926,0.9803921568627451,0.3359040231039713,191.86675044951377
"CHP-HQ A/C, STAFF",UNDER INFLUENCE CNTL SUB,M,504,296,56,129,12,6,1,4,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,58.730158730158735,32.651129578279566,79.8717517241047,11.11111111111111,5.000594466623798,122.1958046242628,25.595238095238095,33.37643409687329,-23.31344318884005,2.380952380952381,23.936918352633004,-90.05322094566746,1.1904761904761905,4.0538050073025165,-70.63311658228086,0.1984126984126984,0.6452144751838521,-69.24856678763116,0.7936507936507936,0.3359040231039713,136.27308369722542
"CHP-HQ A/C, STAFF",DUI DRUG,M,254,130,28,76,11,6,2,1,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,51.181102362204726,32.651129578279566,56.75139887427297,11.023622047244094,5.000594466623798,120.44623135950485,29.92125984251969,33.37643409687329,-10.352137212516906,4.330708661417323,23.936918352633004,-81.90782707440303,2.3622047244094486,4.0538050073025165,-41.72870376956519,0.7874015748031495,0.6452144751838521,22.03718377192043,0.39370078740157477,0.3359040231039713,17.206332857678753
"CHP-HQ A/C, STAFF",OBSTRUCT/ETC PUB OFCR/ETC,M,197,57,40,82,10,3,5,0,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,28.934010152284262,32.651129578279566,-11.38435170239266,20.304568527918782,5.000594466623798,306.04309474484575,41.62436548223351,33.37643409687329,24.71184117938137,5.0761421319796955,23.936918352633004,-78.79366902121996,1.5228426395939088,4.0538050073025165,-62.43424050119177,2.5380710659898478,0.6452144751838521,293.3685872851243,0,0.3359040231039713,-100
"CHP-HQ A/C, STAFF",DISORD CONDUCT:UI/DRUG,M,113,55,10,36,5,3,3,1,15105860,14777594,2263222,292018,10833624,152027,1834714,45259059,48.67256637168141,32.651129578279566,49.06855291174903,8.849557522123893,5.000594466623798,76.97010987773145,31.858407079646017,33.37643409687329,-4.548200124738553,4.424778761061947,23.936918352633004,-81.5148353857537,2.6548672566371683,4.0538050073025165,-34.50925113924583,2.6548672566371683,0.6452144751838521,311.47050457612113,0.8849557522123894,0.3359040231039713,163.4549428836319
