AGENCY_NAME,IDENTITY_TYPE,IDENTITY_SUBTYPE,STOP_COUNT,STOP_RATE_PER_1000,STOP_COUNT_TRAFFIC,STOP_RATE_TRAFFIC_PER_1000,SEARCH_COUNT,SEARCH_RATE_PER_100_STOPS,SEARCH_CONSENT_COUNT,SEARCH_RATE_CONSENT_PER_100_STOPS,SEARCH_TRAFFIC_COUNT,SEARCH_RATE_PER_100_TRAFFIC_STOPS,CONTRABAND_COUNT,CONTRABAND_RATE_PER_100_SEARCHES,CONTRABAND_TRAFFIC_COUNT,CONTRABAND_RATE_PER_100_TRAFFIC_SEARCHES,ARREST_COUNT,ARREST_RATE_PER_100_STOPS,USE_FORCE_COUNT,FORCE_RATE_PER_100_STOPS
"CHP-HQ A/C, STAFF",Disability Status,Disabled,1622,NaN,1446,NaN,98,6.041923551171394,0,0,74,5.117565698478561,17,17.346938775510203,12,16.216216216216218,157,9.67940813810111,23,1.4180024660912454
"CHP-HQ A/C, STAFF",Disability Status,Not Disabled,1031799,NaN,1016400,NaN,11128,1.0785046312314706,72,0.006978103293374001,9762,0.9604486422668241,1520,13.65923795830338,1272,13.030116779348495,31392,3.0424530359110644,603,0.05844161508200725
LAPD,Disability Status,Disabled,6620,NaN,1288,NaN,3364,50.81570996978853,195,2.9456193353474323,353,27.406832298136646,507,15.071343638525564,68,19.263456090651555,1134,17.129909365558913,211,3.187311178247734
LAPD,Disability Status,Not Disabled,330061,NaN,240215,NaN,82646,25.039613889553745,12139,3.677805011800849,36125,15.038611244093833,17524,21.203688018778887,6045,16.73356401384083,23220,7.035063215587421,3723,1.1279733140237713
LOS ANGELES CO SD,Disability Status,Disabled,1561,NaN,331,NaN,569,36.45099295323511,68,4.356181934657271,67,20.241691842900302,93,16.34446397188049,13,19.402985074626866,151,9.673286354900705,24,1.5374759769378605
LOS ANGELES CO SD,Disability Status,Not Disabled,135074,NaN,95112,NaN,27695,20.503575817699925,4519,3.3455735374683506,11210,11.786104802758853,6848,24.72648492507673,2543,22.685102586975916,11253,8.330988939396184,2157,1.5969024386632513
RIVERSIDE CO SO,Disability Status,Disabled,851,NaN,197,NaN,276,32.432432432432435,25,2.937720329024677,7,3.5532994923857872,28,10.144927536231885,2,28.57142857142857,64,7.520564042303173,18,2.1151586368977675
RIVERSIDE CO SO,Disability Status,Not Disabled,43654,NaN,34888,NaN,3542,8.113804004214963,498,1.1407889311403308,701,2.0092868608117405,695,19.621682665160925,137,19.543509272467904,1397,3.2001649333394417,270,0.6185000229074082
SAN BERNARDINO CO SO,Disability Status,Disabled,1146,NaN,212,NaN,494,43.1064572425829,42,3.664921465968586,41,19.339622641509436,83,16.801619433198383,10,24.390243902439025,184,16.05584642233857,0,0
SAN BERNARDINO CO SO,Disability Status,Not Disabled,61287,NaN,37162,NaN,14365,23.438902214172664,1933,3.1540130859725553,3805,10.238953769980087,3439,23.94013226592412,811,21.31406044678055,6260,10.214237929740403,0,0
SAN DIEGO CO SO,Disability Status,Disabled,1422,NaN,205,NaN,492,34.59915611814346,72,5.063291139240507,22,10.731707317073171,56,11.38211382113821,4,18.181818181818183,144,10.126582278481013,32,2.250351617440225
SAN DIEGO CO SO,Disability Status,Not Disabled,39093,NaN,25063,NaN,6982,17.859974931573426,1249,3.1949453866421096,1307,5.214858556437777,1664,23.832712689773704,324,24.789594491201225,3339,8.541171053641317,363,0.9285549842682834
SAN DIEGO PD,Disability Status,Disabled,4290,NaN,303,NaN,1352,31.515151515151512,74,1.724941724941725,46,15.181518151815181,153,11.316568047337277,7,15.217391304347828,411,9.58041958041958,166,3.86946386946387
SAN DIEGO PD,Disability Status,Not Disabled,85165,NaN,40093,NaN,15432,18.120119767510126,797,0.9358304467797803,2942,7.337939291148081,3565,23.10134784862623,688,23.385452073419444,8684,10.196677038689602,1295,1.5205777021076732
SAN FRANCISCO PD - DOC,Disability Status,Disabled,2132,NaN,200,NaN,731,34.28705440900563,32,1.5009380863039399,35,17.5,148,20.24623803009576,10,28.57142857142857,160,7.5046904315197,78,3.6585365853658534
SAN FRANCISCO PD - DOC,Disability Status,Not Disabled,54277,NaN,32738,NaN,9809,18.07211157580559,269,0.4956058735744422,2535,7.743295253222556,3336,34.009583035987355,731,28.83629191321499,3834,7.0637654991985555,979,1.8037105956482489
