AGENCY_NAME,IDENTITY_TYPE,IDENTITY_SUBTYPE,STOP_COUNT,STOP_RATE_PER_1000,STOP_COUNT_TRAFFIC,STOP_RATE_TRAFFIC_PER_1000,SEARCH_COUNT,SEARCH_RATE_PER_100_STOPS,SEARCH_CONSENT_COUNT,SEARCH_RATE_CONSENT_PER_100_STOPS,SEARCH_TRAFFIC_COUNT,SEARCH_RATE_PER_100_TRAFFIC_STOPS,CONTRABAND_COUNT,CONTRABAND_RATE_PER_100_SEARCHES,CONTRABAND_TRAFFIC_COUNT,CONTRABAND_RATE_PER_100_TRAFFIC_SEARCHES,ARREST_COUNT,ARREST_RATE_PER_100_STOPS,USE_FORCE_COUNT,FORCE_RATE_PER_100_STOPS
"CHP-HQ A/C, STAFF",Gender,Female,299826,NaN,297030,NaN,2259,0.7534369934562046,17,0.005669955240706276,1973,0.6642426690906642,250,11.066843736166446,197,9.984794728839331,7272,2.425406735906826,125,0.041690847358134386
"CHP-HQ A/C, STAFF",Gender,Male,733512,NaN,720735,NaN,8956,1.220975253301923,55,0.0074981731723543716,7853,1.0895821626534024,1287,14.370254577936578,1087,13.84184388131924,24256,3.3068306994295935,501,0.06830154107908255
"CHP-HQ A/C, STAFF",Gender,Transgender Female,14,NaN,14,NaN,1,7.142857142857142,0,0,1,7.142857142857142,0,0,0,0,2,14.285714285714285,0,0
"CHP-HQ A/C, STAFF",Gender,Transgender Male,69,NaN,67,NaN,10,14.492753623188406,0,0,9,13.432835820895523,0,0,0,0,19,27.536231884057973,0,0
LAPD,Gender,Female,84489,NaN,65553,NaN,9875,11.68791203588633,988,1.1693829966031082,2902,4.4269522371211085,2224,22.52151898734177,614,21.157822191592004,5057,5.98539454840275,643,0.7610458166151807
LAPD,Gender,Gender Nonconforming,105,NaN,76,NaN,32,30.476190476190478,6,5.714285714285714,16,21.052631578947366,8,25,6,37.5,11,10.476190476190476,0,0
LAPD,Gender,Male,250260,NaN,175026,NaN,75454,30.150243746503634,11283,4.508511148405658,33400,19.082879115102898,15656,20.749065655896306,5465,16.362275449101794,18963,7.577319587628866,3251,1.2990489890513865
LAPD,Gender,Transgender Female,550,NaN,259,NaN,179,32.54545454545455,13,2.3636363636363638,43,16.602316602316602,45,25.139664804469277,8,18.6046511627907,99,18,15,2.727272727272727
LAPD,Gender,Transgender Male,1277,NaN,589,NaN,470,36.80501174628035,44,3.445575567736883,117,19.864176570458405,98,20.851063829787233,20,17.094017094017094,224,17.54111198120595,25,1.957713390759593
LOS ANGELES CO SD,Gender,Female,41451,NaN,31580,NaN,4206,10.146920460302526,587,1.4161298883018503,1369,4.3350221659278025,1137,27.03281027104137,391,28.56099342585829,2525,6.0915297580275505,644,1.5536416491761356
LOS ANGELES CO SD,Gender,Gender Nonconforming,115,NaN,76,NaN,22,19.130434782608695,1,0.8695652173913043,9,11.842105263157894,9,40.909090909090914,4,44.44444444444444,13,11.304347826086957,3,2.608695652173913
LOS ANGELES CO SD,Gender,Male,94932,NaN,63738,NaN,23981,25.261239624152026,3996,4.2093287827076225,9879,15.499388120116727,5784,24.11909428297402,2158,21.844316226338698,8841,9.312981923903425,1529,1.610626553743732
LOS ANGELES CO SD,Gender,Transgender Female,69,NaN,23,NaN,28,40.57971014492754,1,1.4492753623188406,11,47.82608695652174,2,7.142857142857142,0,0,9,13.043478260869565,3,4.3478260869565215
LOS ANGELES CO SD,Gender,Transgender Male,68,NaN,26,NaN,27,39.705882352941174,2,2.941176470588235,9,34.61538461538461,9,33.33333333333333,3,33.33333333333333,16,23.52941176470588,2,2.941176470588235
RIVERSIDE CO SO,Gender,Female,15904,NaN,13588,NaN,724,4.5523138832997985,126,0.7922535211267605,129,0.949367088607595,148,20.441988950276244,29,22.48062015503876,345,2.1692655935613683,59,0.3709758551307847
RIVERSIDE CO SO,Gender,Gender Nonconforming,14,NaN,11,NaN,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0
RIVERSIDE CO SO,Gender,Male,28524,NaN,21443,NaN,3085,10.815453653064086,397,1.3918104052727527,578,2.6955183509770086,573,18.573743922204216,110,19.031141868512112,1113,3.901977282288599,227,0.7958210629645212
RIVERSIDE CO SO,Gender,Transgender Female,13,NaN,9,NaN,2,15.384615384615385,0,0,0,0,0,0,0,0,1,7.6923076923076925,1,7.6923076923076925
RIVERSIDE CO SO,Gender,Transgender Male,50,NaN,34,NaN,6,12,0,0,1,2.941176470588235,2,33.33333333333333,0,0,2,4,1,2
SAN BERNARDINO CO SO,Gender,Female,18472,NaN,11958,NaN,3230,17.485924642702468,442,2.392810740580338,747,6.246864024084295,748,23.157894736842106,140,18.741633199464523,1476,7.990472065829364,425,2.300779558250325
SAN BERNARDINO CO SO,Gender,Gender Nonconforming,27,NaN,16,NaN,1,3.7037037037037033,0,0,0,0,0,0,0,0,8,29.629629629629626,0,0
SAN BERNARDINO CO SO,Gender,Male,43851,NaN,25359,NaN,11606,26.466899272536544,1529,3.4868075984584164,3093,12.1968531882172,2770,23.866965362743407,680,21.985127707727127,4949,11.285945588470046,1281,2.9212560716973384
SAN BERNARDINO CO SO,Gender,Transgender Female,35,NaN,19,NaN,6,17.142857142857142,2,5.714285714285714,1,5.263157894736842,2,33.33333333333333,0,0,3,8.571428571428571,0,0
SAN BERNARDINO CO SO,Gender,Transgender Male,48,NaN,22,NaN,16,33.33333333333333,2,4.166666666666666,5,22.727272727272727,2,12.5,1,20,8,16.666666666666664,1,2.083333333333333
SAN DIEGO CO SO,Gender,Female,13425,NaN,9253,NaN,1713,12.75977653631285,279,2.0782122905027935,305,3.296228250297201,410,23.934617629889082,79,25.901639344262296,943,7.024208566108007,95,0.707635009310987
SAN DIEGO CO SO,Gender,Gender Nonconforming,35,NaN,12,NaN,3,8.571428571428571,0,0,1,8.333333333333332,0,0,0,0,2,5.714285714285714,0,0
SAN DIEGO CO SO,Gender,Male,26998,NaN,15989,NaN,5741,21.264538113934364,1037,3.8410252611304543,1021,6.385640127587716,1307,22.766068629158685,248,24.289911851126348,2532,9.378472479442921,297,1.100081487517594
SAN DIEGO CO SO,Gender,Transgender Female,22,NaN,4,NaN,7,31.818181818181817,1,4.545454545454546,1,25,2,28.57142857142857,1,100,4,18.181818181818183,1,4.545454545454546
SAN DIEGO CO SO,Gender,Transgender Male,35,NaN,10,NaN,10,28.57142857142857,4,11.428571428571429,1,10,1,10,0,0,2,5.714285714285714,2,5.714285714285714
SAN DIEGO PD,Gender,Female,24528,NaN,12360,NaN,3243,13.221624266144813,138,0.5626223091976517,505,4.085760517799352,662,20.413197656490905,122,24.15841584158416,2081,8.484181343770384,326,1.3290932811480756
SAN DIEGO PD,Gender,Gender Nonconforming,83,NaN,22,NaN,17,20.481927710843372,0,0,3,13.636363636363635,3,17.647058823529413,1,33.33333333333333,12,14.457831325301203,1,1.2048192771084338
SAN DIEGO PD,Gender,Male,64561,NaN,27971,NaN,13448,20.829912795650625,728,1.1276157432505693,2471,8.834149654999822,3037,22.583283759666863,570,23.067583974099552,6958,10.777404315298709,1132,1.7533805238456652
SAN DIEGO PD,Gender,Transgender Female,100,NaN,13,NaN,18,18,0,0,2,15.384615384615385,6,33.33333333333333,1,50,8,8,0,0
SAN DIEGO PD,Gender,Transgender Male,183,NaN,30,NaN,58,31.693989071038253,5,2.73224043715847,7,23.333333333333332,10,17.24137931034483,1,14.285714285714285,36,19.672131147540984,2,1.092896174863388
SAN FRANCISCO PD - DOC,Gender,Female,11862,NaN,7235,NaN,1712,14.432642050244478,42,0.3540718259989884,429,5.929509329647547,508,29.672897196261683,106,24.708624708624708,676,5.698870342269432,181,1.5258809644242117
SAN FRANCISCO PD - DOC,Gender,Gender Nonconforming,253,NaN,126,NaN,44,17.391304347826086,0,0,6,4.761904761904762,12,27.27272727272727,3,50,19,7.5098814229249005,2,0.7905138339920948
SAN FRANCISCO PD - DOC,Gender,Male,44136,NaN,25556,NaN,8743,19.80922602863875,258,0.5845568243610658,2131,8.338550633902019,2953,33.775591902093105,631,29.610511496949787,3285,7.442903752039151,867,1.964382816748233
SAN FRANCISCO PD - DOC,Gender,Transgender Female,105,NaN,10,NaN,32,30.476190476190478,1,0.9523809523809524,4,40,7,21.875,1,25,12,11.428571428571429,6,5.714285714285714
SAN FRANCISCO PD - DOC,Gender,Transgender Male,53,NaN,11,NaN,9,16.9811320754717,0,0,0,0,4,44.44444444444444,0,0,2,3.7735849056603774,1,1.8867924528301887
