AGENCY_NAME,IDENTITY_TYPE,IDENTITY_SUBTYPE,STOP_COUNT,STOP_RATE_PER_1000,STOP_COUNT_TRAFFIC,STOP_RATE_TRAFFIC_PER_1000,SEARCH_COUNT,SEARCH_RATE_PER_100_STOPS,SEARCH_CONSENT_COUNT,SEARCH_RATE_CONSENT_PER_100_STOPS,SEARCH_TRAFFIC_COUNT,SEARCH_RATE_PER_100_TRAFFIC_STOPS,CONTRABAND_COUNT,CONTRABAND_RATE_PER_100_SEARCHES,CONTRABAND_TRAFFIC_COUNT,CONTRABAND_RATE_PER_100_TRAFFIC_SEARCHES,ARREST_COUNT,ARREST_RATE_PER_100_STOPS,USE_FORCE_COUNT,FORCE_RATE_PER_100_STOPS
"CHP-HQ A/C, STAFF",LGBTQ Status,LGBTQ,4805,NaN,4719,NaN,155,3.225806452,0,0,135,2.860775588,11,7.096774194,8,5.925925926,440,9.157127992,4,0.083246618
"CHP-HQ A/C, STAFF",LGBTQ Status,Non-LGBTQ,1028616,NaN,1013127,NaN,11071,1.076300583,72,0.006999697,9701,0.957530497,1526,13.78375937,1276,13.15328317,31109,3.024355056,622,0.060469602
LAPD,LGBTQ Status,LGBTQ,1932,NaN,924,NaN,681,35.2484472,63,3.260869565,176,19.04761905,151,22.1732746,34,19.31818182,334,17.28778468,40,2.070393375
LAPD,LGBTQ Status,Non-LGBTQ,334749,NaN,240579,NaN,85329,25.49044209,12271,3.665731638,36302,15.08943008,17880,20.95418908,6079,16.74563385,24020,7.175525543,3894,1.163259636
LOS ANGELES CO SD,LGBTQ Status,LGBTQ,1335,NaN,703,NaN,396,29.66292135,47,3.520599251,121,17.21194879,80,20.2020202,24,19.83471074,185,13.8576779,23,1.722846442
LOS ANGELES CO SD,LGBTQ Status,Non-LGBTQ,135300,NaN,94740,NaN,27868,20.59719143,4540,3.355506282,11156,11.77538526,6861,24.61963542,2532,22.69630692,11219,8.291943829,2158,1.594974132
RIVERSIDE CO SO,LGBTQ Status,LGBTQ,658,NaN,466,NaN,75,11.39817629,7,1.063829787,14,3.004291845,12,16,0,0,35,5.319148936,10,1.519756839
RIVERSIDE CO SO,LGBTQ Status,Non-LGBTQ,43847,NaN,34619,NaN,3743,8.536501927,516,1.176819395,694,2.004679511,711,18.99545819,139,20.02881844,1426,3.25221794,278,0.634022852
SAN BERNARDINO CO SO,LGBTQ Status,LGBTQ,882,NaN,446,NaN,243,27.55102041,23,2.607709751,55,12.33183857,53,21.81069959,11,20,123,13.94557823,29,3.287981859
SAN BERNARDINO CO SO,LGBTQ Status,Non-LGBTQ,61551,NaN,36928,NaN,14616,23.74616172,1952,3.171353837,3791,10.26592288,3469,23.73426382,810,21.36639409,6321,10.26953258,1678,2.726194538
SAN DIEGO CO SO,LGBTQ Status,LGBTQ,641,NaN,334,NaN,133,20.74882995,22,3.432137285,12,3.592814371,27,20.30075188,4,33.33333333,68,10.60842434,11,1.716068643
SAN DIEGO CO SO,LGBTQ Status,Non-LGBTQ,39874,NaN,24934,NaN,7341,18.41049305,1299,3.25776195,1317,5.281944333,1693,23.0622531,324,24.60136674,3415,8.564478106,384,0.963033556
SAN DIEGO PD,LGBTQ Status,LGBTQ,2475,NaN,747,NaN,575,23.23232323,22,0.888888889,58,7.764390897,116,20.17391304,14,24.13793103,373,15.07070707,50,2.02020202
SAN DIEGO PD,LGBTQ Status,Non-LGBTQ,86980,NaN,39649,NaN,16209,18.63531846,849,0.976086457,2930,7.389845898,3602,22.22222222,681,23.24232082,8722,10.02759255,1411,1.622212003
SAN FRANCISCO PD - DOC,LGBTQ Status,LGBTQ,867,NaN,273,NaN,224,25.83621684,4,0.461361015,26,9.523809524,60,26.78571429,7,26.92307692,113,13.03344867,16,1.84544406
SAN FRANCISCO PD - DOC,LGBTQ Status,Non-LGBTQ,55542,NaN,32665,NaN,10316,18.57333189,297,0.534730474,2544,7.788152457,3424,33.19115936,734,28.85220126,3881,6.987504951,1041,1.874257319
