AGENCY_NAME,IDENTITY_TYPE,IDENTITY_SUBTYPE,STOP_COUNT,STOP_RATE_PER_1000,STOP_COUNT_TRAFFIC,STOP_RATE_TRAFFIC_PER_1000,SEARCH_COUNT,SEARCH_RATE_PER_100_STOPS,SEARCH_CONSENT_COUNT,SEARCH_RATE_CONSENT_PER_100_STOPS,SEARCH_TRAFFIC_COUNT,SEARCH_RATE_PER_100_TRAFFIC_STOPS,CONTRABAND_COUNT,CONTRABAND_RATE_PER_100_SEARCHES,CONTRABAND_TRAFFIC_COUNT,CONTRABAND_RATE_PER_100_TRAFFIC_SEARCHES,ARREST_COUNT,ARREST_RATE_PER_100_STOPS,USE_FORCE_COUNT,FORCE_RATE_PER_100_STOPS,POPULATION
"CHP-HQ A/C, STAFF",Race,Asian,124011,11.44686210265374,122779,11.333142076926428,690,0.5564022546387014,3,0.002419140237559571,616,0.5017144625709609,73,10.579710144927535,63,10.227272727272728,1916,1.5450242317213796,34,0.02741692269234181,10833624
"CHP-HQ A/C, STAFF",Race,Black,103189,45.5938480626293,101357,44.78438261911558,1245,1.2065239511963484,5,0.004845477715647985,1097,1.082313012421441,172,13.815261044176708,147,13.400182315405651,3537,3.4276909360493852,87,0.08431131225227495,2263222
"CHP-HQ A/C, STAFF",Race,Hispanic,400048,26.482967537101494,393265,26.03393649881569,5376,1.3438387393512778,52,0.012998440187177539,4742,1.205802703011964,627,11.662946428571429,520,10.965837199493885,15633,3.9077810662720474,272,0.06799184097908251,15105860
"CHP-HQ A/C, STAFF",Race,Multiracial,12132,6.612474750833099,11924,6.499105582668471,162,1.3353115727002967,0,0,145,1.2160348876216036,29,17.901234567901234,26,17.93103448275862,372,3.066271018793274,10,0.08242664029014178,1834714
"CHP-HQ A/C, STAFF",Race,Native American,2529,8.660425042291914,2463,8.434411577368518,75,2.965599051008304,0,0,61,2.476654486398701,22,29.333333333333332,16,26.229508196721312,183,7.236061684460261,11,0.4349545274812179,292018
"CHP-HQ A/C, STAFF",Race,Pacific Islander,6580,43.28178547231742,6496,42.729252040755924,72,1.094224924012158,0,0,60,0.9236453201970444,6,8.333333333333332,6,10,233,3.5410334346504557,7,0.10638297872340426,152027
"CHP-HQ A/C, STAFF",Race,White,384932,26.04835401486873,379562,25.68496603709643,3606,0.9367888354306735,12,0.0031174337285546534,3115,0.82068278700186,608,16.860787576261785,506,16.24398073836276,9675,2.5134309436471898,205,0.053256159529475336,14777594
LAPD,Race,Asian,21068,43.53909073812687,17830,36.84744578796289,2122,10.072147332447313,309,1.4666793240934117,646,3.6231071228266964,424,19.98114985862394,102,15.789473684210526,942,4.471235997721664,117,0.55534459844313655,483887
LAPD,Race,Black,93913,280.0580913358025,65197,194.42406675135834,31016,33.02631158625536,4411,4.6969003226390384,15160,23.25260364740709,6761,21.79842661851947,2745,18.106860158311346,7283,7.7550498865971695,1292,1.3757413776580452,335334
LAPD,Race,Hispanic,159180,81.28345959724909,114117,58.27255031322574,42957,26.986430456087447,6578,4.132428697072497,18224,15.969575085219557,8497,19.78024536164071,2777,15.238147497805093,12038,7.562507852745321,2021,1.2696318632994095,1958332
LAPD,Race,Multiracial,2370,26.532919852669522,1781,19.938873526415367,584,24.641350210970465,53,2.2362869198312234,276,15.496911847276811,87,14.897260273972604,37,13.405797101449277,141,5.949367088607595,20,0.8438818565400843,89323
LAPD,Race,Native American,299,51.050025610380736,153,26.12258835581356,102,34.11371237458194,12,4.013377926421405,35,22.875816993464053,11,10.784313725490197,4,11.428571428571429,35,11.705685618729097,3,1.0033444816053512,5857
LAPD,Race,Pacific Islander,872,109,657,82.125,161,18.46330275229358,18,2.064220183486239,46,7.00152207001522,37,22.981366459627328,8,17.391304347826086,47,5.389908256880735,6,0.6880733944954129,8000
LAPD,Race,White,58979,52.27550313144259,41768,37.02068897055044,9068,15.374963970226691,953,1.615829362993608,2091,5.006224861137714,2214,24.415527128363475,440,21.04256336681014,3868,6.558266501636176,475,0.8053714033808643,1128234
LOS ANGELES CO SD,Race,Asian,10607,7.208109616000141,9424,6.404188273893215,542,5.109833129065711,70,0.6599415480343169,173,1.8357385398981325,134,24.723247232472325,40,23.121387283236995,279,2.6303384557367777,181,1.7064202884887338,1471537
