AGENCY_NAME,IDENTITY_TYPE,IDENTITY_SUBTYPE,STOP_COUNT,STOP_RATE_PER_1000,STOP_COUNT_TRAFFIC,STOP_RATE_TRAFFIC_PER_1000,SEARCH_COUNT,SEARCH_RATE_PER_100_STOPS,SEARCH_CONSENT_COUNT,SEARCH_RATE_CONSENT_PER_100_STOPS,SEARCH_TRAFFIC_COUNT,SEARCH_RATE_PER_100_TRAFFIC_STOPS,CONTRABAND_COUNT,CONTRABAND_RATE_PER_100_SEARCHES,CONTRABAND_TRAFFIC_COUNT,CONTRABAND_RATE_PER_100_TRAFFIC_SEARCHES,ARREST_COUNT,ARREST_RATE_PER_100_STOPS,USE_FORCE_COUNT,FORCE_RATE_PER_100_STOPS
"CHP-HQ A/C, STAFF",Student Status,Non-Student,1033403,NaN,1017829,NaN,11226,1.0863138581947218,72,0.0069672722064867245,9836,0.9663705789479372,1537,13.691430607518262,1284,13.05408702724685,31549,3.052923206145134,626,0.060576561128620685
"CHP-HQ A/C, STAFF",Student Status,Student,18,NaN,17,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAPD,Student Status,Non-Student,336659,NaN,241500,NaN,85999,25.544839139901203,12334,3.663647786038692,36476,15.103933747412007,18027,20.961871649670343,6113,16.758964798771796,24350,7.232837975518254,3933,1.1682444253681024
LAPD,Student Status,Student,22,NaN,3,NaN,11,50,0,0,2,66.66666666666666,4,36.36363636363637,0,0,4,18.181818181818183,1,4.545454545454546
LOS ANGELES CO SD,Student Status,Non-Student,136027,NaN,95441,NaN,28160,20.701772442235733,4583,3.3691840590471007,11277,11.815676700788968,6897,24.4921875,2556,22.66560255387071,11356,8.348342608452734,2175,1.5989472678218295
LOS ANGELES CO SD,Student Status,Student,608,NaN,2,NaN,104,17.105263157894736,4,0.6578947368421052,0,0,44,42.30769230769231,0,0,48,7.894736842105263,6,0.9868421052631579
RIVERSIDE CO SO,Student Status,Non-Student,44437,NaN,35083,NaN,3806,8.564934626549947,521,1.1724463847694488,708,2.018071430607417,717,18.83867577509196,139,19.63276836158192,1460,3.2855503296802215,285,0.6413574273690843
RIVERSIDE CO SO,Student Status,Student,68,NaN,2,NaN,12,17.647058823529413,2,2.941176470588235,0,0,6,50,0,0,1,1.4705882352941175,3,4.411764705882353
SAN BERNARDINO CO SO,Student Status,Non-Student,62289,NaN,37370,NaN,14827,23.80356082133282,1974,3.1690988778114915,3846,10.291677816430292,3509,23.666284481014365,821,21.346853874154966,6428,10.319639101607025,1706,2.7388463452616034
SAN BERNARDINO CO SO,Student Status,Student,144,NaN,4,NaN,32,22.22222222222222,1,0.6944444444444444,0,0,13,40.625,0,0,16,11.11111111111111,1,0.6944444444444444
SAN DIEGO CO SO,Student Status,Non-Student,40411,NaN,25267,NaN,7444,18.42072702976912,1319,3.2639627824107302,1329,5.259825068270867,1706,22.91778613648576,328,24.680210684725356,3441,8.515008289822077,391,0.9675583380762665
SAN DIEGO CO SO,Student Status,Student,104,NaN,1,NaN,30,28.846153846153843,2,1.9230769230769231,0,0,14,46.666666666666664,0,0,42,40.38461538461539,4,3.8461538461538463
SAN DIEGO PD,Student Status,Non-Student,89385,NaN,40393,NaN,16774,18.76601219443978,870,0.9733176707501259,2988,7.397321318050157,3714,22.141409323953738,695,23.25970548862115,9086,10.165016501650165,1461,1.6345024332941767
SAN DIEGO PD,Student Status,Student,70,NaN,3,NaN,10,14.285714285714285,1,1.4285714285714286,0,0,4,40,0,0,9,12.857142857142856,0,0
SAN FRANCISCO PD - DOC,Student Status,Non-Student,56405,NaN,32937,NaN,10538,18.682740891764915,301,0.5336406346955057,2570,7.802774994686826,3484,33.06130195483014,741,28.83268482490272,3993,7.0791596489672894,1057,1.8739473450935202
SAN FRANCISCO PD - DOC,Student Status,Student,4,NaN,1,NaN,2,50,0,0,0,0,0,0,0,0,1,25,0,0
