AGENCY_NAME,Offense.Description,Offense.Level,TOTAL,UNDER_18_COUNT,EIGHTEEN_TWENTYNINE_COUNT,THIRTY_PLUS_COUNT
"CHP-HQ A/C, STAFF",VEHICLE THEFT,F,518,32,236,250
"CHP-HQ A/C, STAFF",DUI ALCOHOL:CAUSE BOD INJ,F,548,7,264,277
"CHP-HQ A/C, STAFF",DUI:ALC/DRUG:RSLT:BOD INJ,F,292,6,132,154
"CHP-HQ A/C, STAFF",BURGLARY:FIRST DEGREE,F,8,2,1,5
"CHP-HQ A/C, STAFF",EVADE PO:DISREGARD SAFETY,F,148,2,90,56
"CHP-HQ A/C, STAFF",EVADING PO:DISREGARD SFTY,F,110,2,55,53
"CHP-HQ A/C, STAFF",POS/PUR F/SALE NARC/C/SUB,F,39,2,18,19
"CHP-HQ A/C, STAFF",POSS STOLEN VEH/VES/ETC,F,27,2,11,14
"CHP-HQ A/C, STAFF",ROBBERY,F,11,2,6,3
"CHP-HQ A/C, STAFF",ATT 496 PC:STOLEN PROP,F,17,1,2,14
"CHP-HQ A/C, STAFF",CARRY CON/DIRK OR DAGGER,F,6,1,2,3
"CHP-HQ A/C, STAFF",CCW IN VEHICLE,F,17,1,8,8
"CHP-HQ A/C, STAFF",CCW ON PERSON,F,3,1,1,1
"CHP-HQ A/C, STAFF",DUI W/PRIORS:PER 23550 VC,F,726,1,294,431
"CHP-HQ A/C, STAFF",EVADE PO:CAUSE SBI/DEATH,F,10,1,5,4
"CHP-HQ A/C, STAFF",HIT AND RUN:DEATH/INJURY,F,44,1,24,19
"CHP-HQ A/C, STAFF",POSS CNTL SUB WHILE ARMED,F,15,1,6,8
"CHP-HQ A/C, STAFF",ADW NOT F/ARM:PO/FIRE:GBI,F,2,0,1,1
"CHP-HQ A/C, STAFF",ADW NOT FIREARM,F,27,0,10,17
"CHP-HQ A/C, STAFF",AIDING SUICIDE,F,1,0,0,1
"CHP-HQ A/C, STAFF",ALTER/ETC F/ARM ID MARK,F,7,0,3,4
"CHP-HQ A/C, STAFF",ARSON CAUSING GBI,F,1,0,0,1
