Offense.Code,Offense.Category,Offense.Description,Offense.Level
66234,9,VIOL FOOD/AGRI PROVISION,M
50177,17.5(A),MANDATORY SUPERVISION,X
48052,20,USE/ETC FALSE INFO TO DMV,M
48103,27,IMPERSONATE CHP OFFICER,M
48051,31,GIVE FALSE INFO TO PO,M
46004,32,ACCESSORY,F
46039,32,ACCESSORY:PER 33 PC,M
1004,37,TREASON,F
1009,37(A),TREASON,F
1005,38,MISPRISION OF TREASON,F
51004,67,BRIBE EXECUTIVE OFFICER,F
51044,67.5(A),BRIBE PUBLIC OFFICER/ETC,M
51043,67.5(B),BRIBE PUBLIC OFFICER/ETC,F
51006,68,ASK/RECEIVE BRIBE,F
48004,69,OBSTRUCT/RESIST EXEC OFF,F
48115,69,OBSTRUCT/RESIST EXEC OFCR,M
51046,70(A),ASK/GET/ETC $/ETC:OFC ACT,M
51047,70.5,COMIS ACPT FEE PERF MARRG,M
33004,71,THREATN SCH/PUB OFCR/EMPL,F
33011,71,THREATN SCH/PUB OFCR/EMPL,M
31309,71(A)(2),THRTN SCHOOL/PUB OFCR PR,F
26004,72,PRESENT FALSE CLAIM,F
26053,72,PRESENT FALSE CLAIM,M
26641,72.5(A),SK PUB FND REIMB ATND FNC,M
26642,72.5(A),SK PUB FND REIMB ATND FNC,F
26643,72.5(B),SK PUB FND REIMB ADMT FNC,M
26644,72.5(B),SK PUB FND REIMB ADMT FNC,F
51008,73,BUY APPOINTMENT TO OFFICE,M
51009,74,TAKE REWRD FOR DEPUTATION,M
16016,76(A),THREATN/ETC ELEC OFCL/ETC,F
16046,76(A),THREATN/ETC ELEC OFCL/ETC,M
51010,85,GIVE BRIBE TO LEGISLATOR,F
51011,86,LEGISLATOR RECEIVE BRIBE,F
51012,92,OFR/ETC BRIB JUDG/JUR/ETC,F
50091,93,DISOBEY SUBPOENA,M
51013,93,JUDGE/ETC RECEIVE BRIBE,F
51014,94,JUDL OFCR REC/ETC BRIBE,M
51015,94.5,JUDL OFCR ACC $ TO MARRY,M
51016,95,INFLUENCE JUROR/ETC,F
50117,95.1,THRET JUROR AFTER VERDICT,F
50192,95.1,THRTN JUROR AFTER VERDICT,M
50193,95.2,PROVIDE DEFT W/JUROR INFO,M
50194,95.3,PI PRVD DEFT W/JUROR INFO,M
50004,96,MISCONDUCT OF JUROR/ETC,F
50195,96.5(A),JUDL OFCR OBSTRCT JUSTICE,M
51017,97,JUDGE PURCHASE JUDGEMENT,M
31291,98.6(B)(2),FAIL TO HIRE AFTR HEARING,M
50196,99,CONFLICT INT STATE PRNTR,F
50197,100,COLLSN SUPERINT ST PRNTNG,F
48005,102,TAKE/ETC GOODS FROM OFCR,M
49088,107,ESC:PUB TRAINING SCH/ETC,F
49005,109,AID/ETC ESC:TRNG SCH/ETC,F
49006,110,FUR INMATE W/ESCAPE EQUIP,F
25104,112(A),MFG/ETC FLSE GOV DOC,M
25074,113,MFG/ETC FLSE CITZ/ETC DOC,F
25075,114,USE FALSE CITIZEN/ETC DOC,F
25057,115(A),OFFER/ETC FAKE INSTR:FILE,F
25117,115.1(B),PBLSH CMPGN AD UNAUTH SIG,F
25118,115.1(B),PBLSH CMPGN AD UNAUTH SIG,M
25119,115.2(A),PUBLISH FALSE CAMPAIGN AD,M
25120,115.25(A),PROD DOC INACC EMERG INFO,M
25062,115.3,ALT/ETC CERT CPY OFCL REC,M
25067,115.5(A),FILE FALSE/ETC REALTY DOC,M
25073,115.5(B),FALSE STATE TO NOTARY PUB,F
50005,116,TAMPERING W/JURY LIST,F
50116,116.5(A),JURY TAMPERING,M
50006,117,FALSIFY JURY LIST,F
50111,118(A),PERJURY,F
50100,118.1,OFCR FILES FALSE REPORT,F
50148,118.1,OFFICER FILE FALSE REPORT,M
50083,118A,FALSE AFFIDAVT AS PERJURY,F
26309,119(A)(1),DISPLAY/ETC REVOK/ETC LIC,M
26125,119(C),DISPLAY ANOTHER'S LICENSE,M
26139,119(F),UNLAWFUL POSS/DUPL LICENS,M
31242,123(A),SUBVERT LICENSING EXAM,M
31198,125,BUS/PROF CONSPIRE W/UNLIC,M
50009,127,SUBORNATION OF PERJURY,F
50010,128,PERJ:INOCENT PRSN EXECUTD,F
26005,129,FALSE STATEMNT UNDER OATH,F
26645,131,FRDLNT CONDCT DRNG INVEST,M
54072,131,OBSTRUCT NAVIGABLE WATERS,M
48006,132,OFFER FALSE EVIDENCE,F
48149,132.5(A),UNLAWFUL WITNESS COMPNS,M
48007,133,DECEIVE WITNESS,M
66212,133(A),DISCHRG FUEL OIL IN WATER,M
48008,134,PREPARE FALSE EVIDENCE,F
48009,135,DESTROY/CONCEAL EVIDENCE,M
48125,135.5,FIX EVID:HARM SAFETY OFCR,M
48093,136.1(A)(1),PREVENT/DISSUADE WIT/VICT,M
48116,136.1(A)(1),PRVENT/DISUADE VIC/WITNES,F
48094,136.1(A)(2),ATT PREVENT/DISS WIT/VICT,M
48117,136.1(A)(2),ATT PRVNT/DISUADE VIC/WIT,F
48064,136.1(B)(1),INTIM WIT/VICT FR/RPRT,M
48118,136.1(B)(1),ATT PRVNT/ETC VIC/ETC:RPT,F
48065,136.1(B)(2),INTIM WIT/VICT FROM PROS,M
48119,136.1(B)(2),ATT STOP VIC/ETC:PROSCUTE,F
48066,136.1(B)(3),INTIM WIT/VICT FR SEK ARR,M
48120,136.1(B)(3),ATT STOP VIC/ETC:SEK ARST,F
48058,136.1(C)(1),INTIMIDATE WIT/VICT,F
48067,136.1(C)(2),INTIMIDATE WIT/VICT,F
48068,136.1(C)(3),INTIM WIT/VICT:PR CONV,F
48069,136.1(C)(4),INTIMIDATE WIT/VICT,F
48137,136.2(A)(7)(B)2,POSSES F/ARM:VIOL P/ORDER,M
52153,136.5,C/D/WPN:INT:INTIM WIT/VIC,F
52680,136.5,CDW W/INT INTIM WIT/VICT,M
48045,136.7,PRIS GIV PRIS WIT/ETC INF,F
48150,136.7,SEX OFR REVEAL WIT INFO,M
51032,137(A),INFLUENCE TESTIMONY:BRIBE,F
51033,137(B),GET FLSE TESTMONY:FRC/ETC,F
51034,137(C),UNLAW INFLU OF TESTIMONY,M
51040,138(A),BRIBE WITNESS,F
51039,138(B),WITNESS RECEIVE BRIBE,F
48082,139(A),FELN THRT FRC/ETC:WIT/ETC,F
48151,139(A),FEL THRTN FRC/ETC:WIT/ETC,M
48126,140(A),THRET FORCE/ETC:WIT/VICT,F
48127,140(A),THREAT FORCE/ETC WIT/VICT,M
48133,141(A),ALT EVID WIT CHRG W/CRIME,M
48134,141(B),PO ALT/ETC PHYS MATTER WI,F
48148,141(C),PROS ATT ALT PHYS MTR WI,F
48070,142(A),PO REFUSE TO ARREST,F
48152,142(A),PO REFUSE TO ARREST,M
56004,145,DELAY TAKING BEFORE JUDGE,M
44045,146(A),MAKE ARREST/ETC W/O AUTH,M
44086,146(B),SEIZE/LEVY PROP W/O AUTH,M
44087,146(C),DSPSSESS LND/ETC W/O AUTH,M
44047,146A(A),IMPERSON STATE DEPUTY/ETC,M
44088,146A(A)(1),FLS DEPUTY/ETC ARREST/DTN,M
44089,146A(A)(2),FLS DEPUTY/ETC INTIMIDATE,M
44090,146A(A)(3),FLS DEPUTY/ETC SRCH PERSN,M
44091,146A(A)(4),FLS DEPUTY/ETC OBT MONEY,M
44046,146A(B),IMP PUB OFCR/ETC:ARST/ETC,F
44092,146A(B)(1),FLS PUB OFCR ARREST/DETN,M
44093,146A(B)(1),FLS PUB OFCR ARREST/DETN,F
44072,146A(B)(2),IMP PUB OFCR/ETC:INTIMIDA,M
44094,146A(B)(2),FLS PUB OFCR INTIM PERSON,M
44095,146A(B)(2),FLS PUB OFCR INTIM PERSON,F
44096,146A(B)(3),FLS PUB OFCR SEARCH PERSN,M
44097,146A(B)(3),FLS PUB OFCR SEARCH PERSN,F
44098,146A(B)(4),FLS PUB OFCR OBTAIN MONEY,M
44099,146A(B)(4),FLS PUB OFCR OBTAIN MONEY,F
44005,146B,REQ/ETC INFO GUIS GOV ENT,M
26006,146C,ILLEGAL USE PO/ETC NAME,M
