AGENCY_NAME,IDENTITY_TYPE,IDENTITY_SUBTYPE,STOP_COUNT,STOP_RATE_PER_1000,STOP_COUNT_TRAFFIC,STOP_RATE_TRAFFIC_PER_1000,SEARCH_COUNT,SEARCH_RATE_PER_100_STOPS,SEARCH_CONSENT_COUNT,SEARCH_RATE_CONSENT_PER_100_STOPS,SEARCH_TRAFFIC_COUNT,SEARCH_RATE_PER_100_TRAFFIC_STOPS,CONTRABAND_COUNT,CONTRABAND_RATE_PER_100_SEARCHES,CONTRABAND_TRAFFIC_COUNT,CONTRABAND_RATE_PER_100_TRAFFIC_SEARCHES,ARREST_COUNT,ARREST_RATE_PER_100_STOPS,USE_FORCE_COUNT,FORCE_RATE_PER_100_STOPS
"CHP-HQ A/C, STAFF",Disability Status,Disabled,1622,NaN,1446,NaN,98,6.041923551,0,0,74,5.117565698,17,17.34693878,12,16.21621622,157,9.679408138,23,1.418002466
"CHP-HQ A/C, STAFF",Disability Status,Not Disabled,1031799,NaN,1016400,NaN,11128,1.078504631,72,0.006978103,9762,0.960448642,1520,13.65923796,1272,13.03011678,31392,3.042453036,603,0.058441615
"CHP-HQ A/C, STAFF",Gender,Female,299826,NaN,297030,NaN,2259,0.753436993,17,0.005669955,1973,0.664242669,250,11.06684374,197,9.984794729,7272,2.425406736,125,0.041690847
"CHP-HQ A/C, STAFF",Gender,Male,733512,NaN,720735,NaN,8956,1.220975253,55,0.007498173,7853,1.089582163,1287,14.37025458,1087,13.84184388,24256,3.306830699,501,0.068301541
"CHP-HQ A/C, STAFF",Gender,Transgender Female,14,NaN,14,NaN,1,7.142857143,0,0,1,7.142857143,0,0,0,0,2,14.28571429,0,0
"CHP-HQ A/C, STAFF",Gender,Transgender Male,69,NaN,67,NaN,10,14.49275362,0,0,9,13.43283582,0,0,0,0,19,27.53623188,0,0
"CHP-HQ A/C, STAFF",LGBTQ Status,LGBTQ,4805,NaN,4719,NaN,155,3.225806452,0,0,135,2.860775588,11,7.096774194,8,5.925925926,440,9.157127992,4,0.083246618
"CHP-HQ A/C, STAFF",LGBTQ Status,Non-LGBTQ,1028616,NaN,1013127,NaN,11071,1.076300583,72,0.006999697,9701,0.957530497,1526,13.78375937,1276,13.15328317,31109,3.024355056,622,0.060469602
"CHP-HQ A/C, STAFF",Race,Asian,124011,11.4468621,122779,11.33314208,690,0.556402255,3,0.00241914,616,0.501714463,73,10.57971014,63,10.22727273,1916,1.545024232,34,0.027416923
"CHP-HQ A/C, STAFF",Race,Black,103189,45.59384806,101357,44.78438262,1245,1.206523951,5,0.004845478,1097,1.082313012,172,13.81526104,147,13.40018232,3537,3.427690936,87,0.084311312
"CHP-HQ A/C, STAFF",Race,Hispanic,400048,26.48296754,393265,26.0339365,5376,1.343838739,52,0.01299844,4742,1.205802703,627,11.66294643,520,10.9658372,15633,3.907781066,272,0.067991841
"CHP-HQ A/C, STAFF",Race,Multiracial,12132,6.612474751,11924,6.499105583,162,1.335311573,0,0,145,1.216034888,29,17.90123457,26,17.93103448,372,3.066271019,10,0.08242664
"CHP-HQ A/C, STAFF",Race,Native American,2529,8.660425042,2463,8.434411577,75,2.965599051,0,0,61,2.476654486,22,29.33333333,16,26.2295082,183,7.236061684,11,0.434954527
"CHP-HQ A/C, STAFF",Race,Pacific Islander,6580,43.28178547,6496,42.72925204,72,1.094224924,0,0,60,0.92364532,6,8.333333333,6,10,233,3.541033435,7,0.106382979
"CHP-HQ A/C, STAFF",Race,White,384932,26.04835401,379562,25.68496604,3606,0.936788835,12,0.003117434,3115,0.820682787,608,16.86078758,506,16.24398074,9675,2.513430944,205,0.05325616
"CHP-HQ A/C, STAFF",Student Status,Non-Student,1033403,NaN,1017829,NaN,11226,1.086313858,72,0.006967272,9836,0.966370579,1537,13.69143061,1284,13.05408703,31549,3.052923206,626,0.060576561
"CHP-HQ A/C, STAFF",Student Status,Student,18,NaN,17,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAPD,Disability Status,Disabled,6620,NaN,1288,NaN,3364,50.81570997,195,2.945619335,353,27.4068323,507,15.07134364,68,19.26345609,1134,17.12990937,211,3.187311178
LAPD,Disability Status,Not Disabled,330061,NaN,240215,NaN,82646,25.03961389,12139,3.677805012,36125,15.03861124,17524,21.20368802,6045,16.73356401,23220,7.035063216,3723,1.127973314
LAPD,Gender,Female,84489,NaN,65553,NaN,9875,11.68791204,988,1.169382997,2902,4.426952237,2224,22.52151899,614,21.15782219,5057,5.985394548,643,0.761045817
LAPD,Gender,Gender Nonconforming,105,NaN,76,NaN,32,30.47619048,6,5.714285714,16,21.05263158,8,25,6,37.5,11,10.47619048,0,0
LAPD,Gender,Male,250260,NaN,175026,NaN,75454,30.15024375,11283,4.508511148,33400,19.08287912,15656,20.74906566,5465,16.36227545,18963,7.577319588,3251,1.299048989
LAPD,Gender,Transgender Female,550,NaN,259,NaN,179,32.54545455,13,2.363636364,43,16.6023166,45,25.1396648,8,18.60465116,99,18,15,2.727272727
LAPD,Gender,Transgender Male,1277,NaN,589,NaN,470,36.80501175,44,3.445575568,117,19.86417657,98,20.85106383,20,17.09401709,224,17.54111198,25,1.957713391
LAPD,LGBTQ Status,LGBTQ,1932,NaN,924,NaN,681,35.2484472,63,3.260869565,176,19.04761905,151,22.1732746,34,19.31818182,334,17.28778468,40,2.070393375
LAPD,LGBTQ Status,Non-LGBTQ,334749,NaN,240579,NaN,85329,25.49044209,12271,3.665731638,36302,15.08943008,17880,20.95418908,6079,16.74563385,24020,7.175525543,3894,1.163259636
LAPD,Race,Asian,21068,43.53909074,17830,36.84744579,2122,10.07214733,309,1.466679324,646,3.623107123,424,19.98114986,102,15.78947368,942,4.471235998,117,0.555344598
LAPD,Race,Black,93913,280.0580913,65197,194.4240668,31016,33.02631159,4411,4.696900323,15160,23.25260365,6761,21.79842662,2745,18.10686016,7283,7.755049887,1292,1.375741378
LAPD,Race,Hispanic,159180,81.2834596,114117,58.27255031,42957,26.98643046,6578,4.132428697,18224,15.96957509,8497,19.78024536,2777,15.2381475,12038,7.562507853,2021,1.269631863
LAPD,Race,Multiracial,2370,26.53291985,1781,19.93887353,584,24.64135021,53,2.23628692,276,15.49691185,87,14.89726027,37,13.4057971,141,5.949367089,20,0.843881857
LAPD,Race,Native American,299,51.05002561,153,26.12258836,102,34.11371237,12,4.013377926,35,22.87581699,11,10.78431373,4,11.42857143,35,11.70568562,3,1.003344482
LAPD,Race,Pacific Islander,872,109,657,82.125,161,18.46330275,18,2.064220183,46,7.00152207,37,22.98136646,8,17.39130435,47,5.389908257,6,0.688073394
LAPD,Race,White,58979,52.27550313,41768,37.02068897,9068,15.37496397,953,1.615829363,2091,5.006224861,2214,24.41552713,440,21.04256337,3868,6.558266502,475,0.805371403
LAPD,Student Status,Non-Student,336659,NaN,241500,NaN,85999,25.54483914,12334,3.663647786,36476,15.10393375,18027,20.96187165,6113,16.7589648,24350,7.232837976,3933,1.168244425
LAPD,Student Status,Student,22,NaN,3,NaN,11,50,0,0,2,66.66666667,4,36.36363636,0,0,4,18.18181818,1,4.545454545
LOS ANGELES CO SD,Disability Status,Disabled,1561,NaN,331,NaN,569,36.45099295,68,4.356181935,67,20.24169184,93,16.34446397,13,19.40298507,151,9.673286355,24,1.537475977
LOS ANGELES CO SD,Disability Status,Not Disabled,135074,NaN,95112,NaN,27695,20.50357582,4519,3.345573537,11210,11.7861048,6848,24.72648493,2543,22.68510259,11253,8.330988939,2157,1.596902439
LOS ANGELES CO SD,Gender,Female,41451,NaN,31580,NaN,4206,10.14692046,587,1.416129888,1369,4.335022166,1137,27.03281027,391,28.56099343,2525,6.091529758,644,1.553641649
LOS ANGELES CO SD,Gender,Gender Nonconforming,115,NaN,76,NaN,22,19.13043478,1,0.869565217,9,11.84210526,9,40.90909091,4,44.44444444,13,11.30434783,3,2.608695652
LOS ANGELES CO SD,Gender,Male,94932,NaN,63738,NaN,23981,25.26123962,3996,4.209328783,9879,15.49938812,5784,24.11909428,2158,21.84431623,8841,9.312981924,1529,1.610626554
